account;1359;nr
money;676;nr
bank;527;nr
frs;380;nr
sara;371;nom
card;331;nr
transaction;238;nom
loan;235;nr
afriland;211;nr
transfer;190;nr
balancer;159;ver
salary;151;nr
received;147;nr
month;127;nr
app;124;nr
deducted;120;nr
momo;109;nr
message;109;nom
send;106;nr
withdraw;96;nr
debited;96;nr
time;95;nr
document;88;nom
branch;86;nr
understand;82;nr
receive;82;nr
mobile;78;nom
manager;76;nom
customer;74;nr
access;74;nr
waiting;70;nr
code;70;nom
atm;68;nr
online;66;nr
service;63;nom
current;62;nr
application;61;nom
phone;60;nom
wallet;59;nr
told;59;nr
pay;57;nr
weeks;56;nr
debit;55;nr
school;54;nr
charge;54;nom
check;53;nr
banking;53;nr
yesterday;51;nr
issue;51;nom
mtn;50;nr
applied;50;nr
withdrawal;49;nr
unable;49;nr
machine;49;nom
cameroon;49;nr
orange;47;nom
months;47;nr
fcfa;45;nr
week;44;nr
visa;43;nom
password;42;nr
international;42;adj
credited;42;nr
savings;41;nr
response;41;nr
agency;41;nr
monthly;40;nr
days;40;nr
xaf;39;nr
contact;39;nom
error;38;nr
day;38;nr
pls;36;nr
wrong;34;nr
update;34;nom
request;34;nr
deposit;34;nr
blocked;34;nr
funds;33;nr
deduction;33;nr
team;32;nom
prepaid;32;nr
sms;31;nr
people;31;adj
deposited;31;nr
signed;30;nr
reply;29;nr
happening;29;nom
fees;29;nr
email;29;nom
times;28;nr
details;28;nr
april;28;nr
accounts;28;nr
supposed;27;nr
left;27;nr
euro;26;nom
credit;25;nr
afternoon;25;nr
sum;24;nr
requested;24;nr
fee;24;nr
cut;24;nr
bamenda;24;nr
office;23;nom
noticed;23;nr
hours;23;nr
february;23;nr
enter;23;ver
checked;23;nr
receiving;22;nr
process;22;nom
created;22;nr
business;22;nom
bafoussam;22;nr
payments;21;nr
payment;21;nr
otp;21;nr
confirm;21;nr
agent;21;nom
wait;20;nr
version;20;nom
usd;20;nr
thursday;20;nr
monday;20;nr
complete;20;nr
cash;20;adv
called;20;nr
yaounde;19;nr
withdrawn;19;nr
telling;19;nr
situation;19;nom
sending;19;nr
madam;19;nr
kindly;19;nr
customers;19;nr
avail;19;nr
august;19;nr
answer;19;nr
transferred;18;nr
tomorrow;18;nr
thé;18;nom
saturday;18;nr
reason;18;nr
country;18;adj
apply;18;nr
worry;17;nr
withdrew;17;nr
verify;17;nr
suspended;17;nr
sign;17;nr
operation;17;nr
negative;17;nr
june;17;nr
changer;17;ver
tram;16;nom
total;16;adj
saving;16;nr
removed;16;nr
personal;16;nr
person;16;nr
pdf;16;nr
paying;16;nr
lost;16;nr
login;16;adj
letter;16;nr
hope;16;nr
friday;16;nr
filer;16;ver
create;16;nr
afb;16;nr
talk;15;nr
solve;15;nr
registration;15;nr
paid;15;nr
march;15;nr
downloaded;15;nr
confirmation;15;nom
collect;15;nr
wednesday;14;nr
talking;14;nr
resolved;14;nr
refund;14;nr
limbe;14;nom
guys;14;nr
explain;14;nr
based;14;nr
support;13;nom
pending;13;nr
network;13;nr
live;13;adj
history;13;nr
franc;13;nom
form;13;nr
financial;13;nr
expecting;13;nr
douala;13;nr
concern;13;nr
clarification;13;nom
valid;12;nr
unblock;12;nr
term;12;nr
registered;12;nr
provide;12;nr
january;12;nr
happy;12;nr
eco;12;nr
complaint;12;nr
complain;12;nr
urgently;11;nr
travel;11;nr
subscribe;11;nr
statement;11;nr
start;11;nr
standing;11;nom
speak;11;nr
sender;11;nr
refunded;11;nr
produce;11;nr
pass;11;nr
overdraft;11;nr
notification;11;nom
meaning;11;nr
maximum;11;nom
lover;11;ver
limit;11;nr
happened;11;nr
follow;11;nr
entered;11;nr
dschang;11;nr
company;11;nr
buea;11;nr
airtime;11;nr
yde;10;nr
write;10;nr
user;10;ver
uae;10;nr
treated;10;nr
swiss;10;nr
save;10;nr
responding;10;nr
renew;10;nr
remove;10;nr
reached;10;nr
question;10;nom
processing;10;nr
power;10;nr
pack;10;nom
normal;10;adj
mistake;10;nr
missing;10;nr
mendong;10;nr
main;10;nom
mail;10;nom
madame;10;nom_sup
link;10;nr
grateful;10;nr
functioning;10;nr
explanation;10;nr
expired;10;nr
dubai;10;nr
discovered;10;nr
coming;10;nr
changed;10;nr
beneficiary;10;nr
attorney;10;nom
assistance;10;nom
actif;10;adj
wrote;9;nr
writing;9;nr
verification;9;nr
treat;9;nr
thousands;9;nr
subscription;9;nr
solved;9;nr
short;9;nom
screenshot;9;nr
sarah;9;nr
reference;9;nr
receiver;9;nr
rater;9;ver
project;9;nr
previous;9;nr
pin;9;nom
picture;9;nr
paypal;9;nr
partner;9;nom
november;9;nr
mac;9;nom
log;9;nr
life;9;nr
leave;9;nr
incident;9;nom
gimac;9;nr
feedback;9;nom
failed;9;nr
eligible;9;nr
clore;9;ver
charged;9;nr
cfa;9;nr
carry;9;nom
attestation;9;nom
whatsapp;8;nr
updates;8;nr
town;8;nr
supposer;8;ver
successful;8;nr
subscribed;8;nr
stephen;8;nr
started;8;nr
returned;8;nr
required;8;nr
requesting;8;nr
redraw;8;nr
presently;8;nr
option;8;nom
notice;8;nom
linked;8;nr
kumba;8;nr
july;8;nr
insurance;8;nr
frustrating;8;nr
finally;8;nr
ethiopia;8;nr
emmanuel;8;nr
dial;8;nr
deduct;8;nr
december;8;nr
dad;8;nr
client;8;nom
cards;8;nr
caracters;8;nr
block;8;nom
authorization;8;nr
add;8;nr
urgent;7;adj
surprised;7;nr
submitted;7;nr
servir;7;ver
revolut;7;nr
respect;7;nom
register;7;nr
reclamation;7;nr
receipt;7;nr
procedure;7;nr
permettre;7;ver
period;7;nr
passed;7;nr
nformi;7;nr
multiple;7;adj
minute;7;nom
melen;7;nr
loans;7;nr
justification;7;nom
impossible;7;adj
identification;7;nom
forgotten;7;nr
finance;7;nom
fin;7;adj
external;7;nr
entering;7;nr
emergency;7;nom
duration;7;nr
dropped;7;nr
deductions;7;nr
couple;7;nom
contract;7;nr
connected;7;nr
connect;7;nr
complained;7;nr
chuye;7;nr
checking;7;nr
canada;7;nom
calls;7;nr
bought;7;nr
beneficial;7;nr
acount;7;nr
withdrawals;6;nr
wire;6;nr
validated;6;nr
validate;6;nr
type;6;nom
tuesday;6;nr
technical;6;nr
takes;6;nr
succeeded;6;nr
south;6;nr
solution;6;nom
sister;6;nr
sim;6;nr
signature;6;nom
seex;6;nr
return;6;nr
reflect;6;nr
rectify;6;nr
ready;6;nr
reach;6;nr
purpose;6;nr
public;6;nom
proof;6;nr
play;6;adv
package;6;nom
organization;6;nr
operations;6;nr
nkongsamba;6;nr
massage;6;nom
lot;6;nom
kome;6;nr
insufficient;6;nr
input;6;nom
identity;6;nr
house;6;nom
gmail;6;nr
gab;6;nr
fund;6;nr
foreign;6;nr
fondzenyuy;6;nr
failure;6;nr
exchange;6;nr
exact;6;adj
europe;6;nr
download;6;nr
double;6;adj
dollar;6;nom
digit;6;nom
demand;6;nr
crédit;6;nom
costumer;6;ver
cost;6;nr
correct;6;adj
continuer;6;ver
connection;6;nr
configurer;6;ver
collected;6;nr
civil;6;adj
charger;6;ver
certificate;6;nr
carried;6;nr
cancel;6;nom
bring;6;nr
box;6;nom
authorize;6;nr
apps;6;nr
address;6;nr
être;5;aux
yaoundé;5;nr
withdrawing;5;nr
visit;5;nr
updated;5;nr
united;5;nr
understanding;5;nr
trust;5;nom
surprise;5;nom
stranded;5;nr
store;5;nom
step;5;nr
select;5;adj
saved;5;nr
retrieve;5;nr
restriction;5;nom
respond;5;nr
remember;5;nr
remaining;5;nr
rejecting;5;nr
region;5;nr
reasons;5;nr
real;5;nr
processed;5;nr
precisely;5;nr
platform;5;nr
patient;5;nom
passport;5;nr
opt;5;nr
nigeria;5;nr
mistakenly;5;nr
mission;5;nom
meet;5;nr
maintenance;5;nom
load;5;nr
level;5;nr
laon;5;nr
knowing;5;nr
installment;5;nr
installed;5;nr
initial;5;adj
informed;5;nr
increase;5;nr
guinea;5;nr
google;5;nr
family;5;nr
everyday;5;nr
equally;5;nr
difficulties;5;nr
difficult;5;nr
delay;5;nr
declined;5;nr
daily;5;nr
creating;5;nr
correctly;5;nr
completed;5;nr
checkpoint;5;nr
central;5;adj
cancelled;5;nr
bonanjo;5;nr
avoid;5;nr
automatically;5;nr
attitude;5;nom
attached;5;nr
alright;5;nr
alert;5;nr
agreement;5;nr
advise;5;nr
advance;5;nr
accept;5;nr
workers;4;nr
wife;4;nr
west;4;nr
weekend;4;nr
waited;4;nr
viewer;4;nr
verified;4;nr
usual;4;nr
upto;4;nr
unlocked;4;nr
understood;4;nr
travelled;4;nr
traveled;4;nr
transpired;4;nr
transfered;4;nr
tired;4;nr
tern;4;nr
teacher;4;nr
swallowed;4;nr
success;4;nr
study;4;nr
student;4;nr
stolen;4;nr
stanley;4;nr
space;4;nr
slow;4;nom
slashed;4;nr
sincerely;4;nr
signaled;4;nr
shu;4;nr
server;4;nr
salaries;4;nr
removing;4;nr
remotely;4;nr
rejected;4;nr
regretting;4;nr
reduction;4;nr
reduced;4;nr
recover;4;nr
reclaim;4;nr
recieve;4;nr
reaction;4;nr
rappel;4;nom
prudential;4;nr
press;4;nr
perform;4;nr
nic;4;nr
moving;4;nr
mind;4;nr
million;4;nom_sup
merci;4;ono
menu;4;nom
masser;4;ver
land;4;nom
islamic;4;nr
invalid;4;nr
inquiry;4;nr
inform;4;nr
included;4;nr
huge;4;nr
hold;4;nr
happen;4;nr
granted;4;nr
germany;4;nr
garoua;4;nr
function;4;nr
france;4;nr
formal;4;nr
filling;4;nr
fellow;4;nr
faire;4;ver_sup
explained;4;nr
expected;4;nr
expect;4;nr
ethiopian;4;nr
engaged;4;nr
débit;4;nom
